#,Drink,Bottles per crate,Buy per crate (magazine rate),Buy per bottle,Sell per bottle (snacks rate),Profit per bottle,Margin %
1,Doppel,12,8500,708,1000,292,29.2%
2,Mutzig,12,8500,708,1000,292,29.2%
3,Export,12,8500,708,1000,292,29.2%
4,Castel Beer,12,8500,708,1000,292,29.2%
5,Castel Milk,12,8500,708,1000,292,29.2%
6,Beaufort Light,12,8500,708,1000,292,29.2%
7,Beaufort Lager,12,8500,708,1000,292,29.2%
8,World Cola,6,4000,667,1000,333,33.3%
9,Sprite,6,4000,667,1000,333,33.3%
10,Isenbeck,12,9500,792,1000,208,20.8%
11,Booster Cola,12,8500,708,1000,292,29.2%
12,Booster Gin,12,8500,708,1000,292,29.2%
13,Booster Mango,12,8500,708,1000,292,29.2%
14,Big Guinness,12,14000,1167,1500,333,22.2%
15,Big Smooth,12,14000,1167,1500,333,22.2%
16,Small Smooth,15,13000,867,1000,133,13.3%
17,Small Guinness,24,17000,708,1000,292,29.2%
18,Smirnoff Ice,24,17000,708,1000,292,29.2%
19,Malta Guinness,24,15000,625,1000,375,37.5%
20,Top Tonic,12,5000,417,1000,583,58.3%
21,Chill,12,8500,708,1000,292,29.2%
22,Van Pur,24,17000,708,1000,292,29.2%
23,Bavaria,24,19000,792,1000,208,20.8%
24,Power Malta,24,17000,708,1000,292,29.2%
25,Heineken,24,21000,875,1500,625,41.7%
26,Orangina,6,4500,750,1000,250,25.0%
27,D'jino,6,4500,750,1000,250,25.0%
28,Vimto,6,4500,750,1000,250,25.0%
29,Top,6,3000,500,1000,500,50.0%
30,Supper Mount,6,1450,242,500,258,51.7%
31,Reaktor,12,4300,358,500,142,28.3%
